id_siswa,usia,jenis_kelamin,jurusan,ipk,beban_mata_kuliah,rata_rata_nilai_mata_kuliah,tingkat_kehadiran,status_studi,login_lms_bulan_lalu,rata_rata_durasi_sesi_menit,tingkat_pengumpulan_tugas,jumlah_partisipasi_forum,tingkat_penyelesaian_video,tingkat_risiko
S021,23,Lainnya,Bisnis,3.11,4,72.3,0.63,Cuti,8,51,0.86,0,0.59,Tinggi
S022,22,Lainnya,Seni,3.27,4,97.0,0.82,Aktif,19,78,0.84,5,0.9,Sedang
S023,19,Perempuan,Teknik,3.05,5,66.5,0.94,Lulus,15,67,0.98,6,0.94,Rendah
S024,25,Perempuan,Seni,2.93,6,98.6,1.0,Aktif,16,14,0.9,16,0.93,Sedang
S025,21,Lainnya,Teknik,2.47,3,68.2,0.77,Lulus,21,36,0.57,8,0.72,Tinggi
S026,23,Perempuan,Teknik,2.61,6,89.7,0.73,Aktif,12,37,0.67,6,0.88,Tinggi
S027,23,Laki-laki,Teknik,2.58,6,81.9,0.96,Cuti,11,35,0.98,16,0.55,Sedang
S028,19,Perempuan,Teknik,3.13,3,95.4,0.68,Aktif,9,58,0.74,2,0.52,Tinggi
S029,25,Perempuan,Seni,2.24,6,82.2,0.85,Lulus,0,30,0.56,15,0.88,Tinggi
S030,21,Laki-laki,Teknik,3.83,3,81.4,0.76,Aktif,31,10,0.73,4,0.71,Sedang
S031,22,Laki-laki,Teknik,3.44,3,67.8,0.62,Cuti,29,67,0.85,19,1.0,Tinggi
S032,18,Lainnya,Bisnis,2.8,6,66.6,0.74,Cuti,7,88,1.0,17,0.55,Tinggi
S033,21,Lainnya,Ilmu Komputer,2.32,6,96.7,0.71,Aktif,20,64,0.66,0,0.93,Tinggi
S034,19,Laki-laki,Ilmu Komputer,3.76,4,73.1,0.87,Lulus,21,35,0.76,3,0.74,Rendah
S035,23,Laki-laki,Bisnis,3.65,4,74.9,0.98,Cuti,17,34,0.94,10,0.91,Rendah
S036,22,Lainnya,Bisnis,3.44,5,90.4,0.71,Cuti,1,86,0.68,19,0.91,Tinggi
S037,21,Perempuan,Seni,2.54,5,73.6,0.92,Aktif,8,42,0.55,8,0.96,Sedang
S038,18,Laki-laki,Seni,2.8,6,98.1,0.62,Cuti,2,81,0.97,7,0.65,Tinggi
S039,18,Lainnya,Seni,2.21,3,89.5,0.82,Cuti,25,78,0.74,7,0.97,Tinggi
S040,20,Perempuan,Bisnis,2.38,5,83.9,0.63,Lulus,20,15,0.75,4,0.58,Tinggi
S041,20,Laki-laki,Bisnis,3.57,6,95.2,0.97,Lulus,29,32,0.81,11,0.54,Rendah
S042,24,Perempuan,Teknik,3.43,5,62.0,0.91,Lulus,27,39,0.5,0,0.72,Rendah
S043,19,Lainnya,Seni,3.19,3,70.3,0.86,Aktif,35,87,0.97,14,0.91,Rendah
S044,25,Laki-laki,Seni,3.79,6,78.6,0.93,Cuti,25,63,0.68,17,0.74,Rendah
S045,21,Perempuan,Seni,3.17,3,69.1,0.86,Aktif,33,20,0.7,5,0.91,Rendah
S046,21,Laki-laki,Ilmu Komputer,2.93,6,89.8,0.99,Cuti,7,40,0.59,9,0.86,Sedang
S047,25,Perempuan,Teknik,2.68,5,96.8,0.89,Cuti,9,15,0.69,13,0.6,Sedang
S048,24,Lainnya,Seni,3.88,4,77.0,0.97,Cuti,13,20,0.9,7,0.97,Rendah
S049,23,Lainnya,Seni,2.17,5,73.7,0.81,Lulus,39,86,0.9,2,0.53,Tinggi
S050,23,Laki-laki,Seni,3.86,5,98.5,0.65,Aktif,14,21,0.97,18,0.95,Tinggi
S051,24,Perempuan,Ilmu Komputer,3.65,4,77.8,0.81,Aktif,16,75,0.7,11,0.65,Sedang
S052,23,Laki-laki,Ilmu Komputer,2.26,4,79.6,0.65,Cuti,17,62,0.85,11,0.75,Tinggi
S053,20,Laki-laki,Bisnis,3.13,6,74.1,0.84,Aktif,31,45,0.75,14,0.71,Sedang
S054,21,Perempuan,Teknik,3.73,6,96.4,0.79,Lulus,37,26,0.9,6,0.59,Sedang
S055,24,Perempuan,Bisnis,3.14,3,82.8,0.85,Aktif,22,37,0.86,3,0.68,Rendah
S056,21,Perempuan,Teknik,3.81,3,90.5,0.6,Cuti,22,31,0.68,8,0.6,Tinggi
S057,25,Lainnya,Ilmu Komputer,3.89,5,92.5,0.68,Lulus,34,16,0.67,15,0.6,Tinggi
S058,18,Laki-laki,Seni,2.84,4,73.7,0.8,Lulus,38,24,0.63,12,0.59,Sedang
S059,20,Laki-laki,Bisnis,2.75,3,77.3,0.98,Cuti,14,20,0.79,3,0.74,Sedang
S060,22,Lainnya,Seni,3.87,5,93.9,0.75,Aktif,23,33,0.98,8,0.9,Sedang
S061,20,Perempuan,Bisnis,3.35,4,74.5,0.77,Cuti,27,76,0.6,17,0.78,Sedang
S062,24,Lainnya,Ilmu Komputer,2.23,6,91.8,0.89,Aktif,15,39,0.55,14,0.95,Tinggi
S063,22,Lainnya,Ilmu Komputer,2.08,5,97.6,0.84,Aktif,15,79,0.56,14,0.82,Tinggi
S064,18,Lainnya,Ilmu Komputer,3.13,6,84.9,0.72,Lulus,39,75,0.89,5,0.84,Tinggi
S065,24,Laki-laki,Bisnis,3.86,3,89.7,0.76,Cuti,38,70,0.68,10,0.83,Sedang
S066,19,Lainnya,Teknik,3.69,3,92.2,0.69,Lulus,5,87,0.61,7,0.72,Tinggi
S067,21,Laki-laki,Bisnis,3.35,4,93.8,0.99,Cuti,1,50,0.68,16,0.84,Rendah
S068,18,Laki-laki,Teknik,2.28,5,75.8,0.65,Cuti,12,60,0.82,16,0.53,Tinggi
S069,21,Laki-laki,Bisnis,2.51,6,62.1,0.75,Lulus,8,53,0.77,17,0.93,Sedang
S070,23,Perempuan,Bisnis,3.75,4,76.1,0.61,Cuti,33,22,0.87,3,0.89,Tinggi
S071,19,Laki-laki,Ilmu Komputer,2.37,3,87.0,0.69,Cuti,16,21,0.67,14,0.62,Tinggi
S072,19,Laki-laki,Seni,2.56,3,78.0,0.91,Aktif,26,18,0.73,1,0.88,Sedang
S073,18,Perempuan,Seni,2.26,5,90.0,0.68,Cuti,28,57,0.55,1,0.51,Tinggi
S074,19,Laki-laki,Teknik,3.35,6,74.3,0.63,Cuti,36,58,0.54,9,0.61,Tinggi
S075,22,Lainnya,Seni,3.89,5,85.4,0.79,Lulus,21,62,0.73,2,0.53,Sedang
S076,19,Lainnya,Bisnis,2.54,6,67.5,0.6,Lulus,23,65,0.65,7,0.89,Tinggi
S077,21,Laki-laki,Bisnis,2.95,6,90.0,0.63,Cuti,6,49,0.81,19,0.88,Tinggi
S078,21,Perempuan,Ilmu Komputer,3.27,5,81.8,0.92,Aktif,33,33,0.52,6,0.91,Rendah
S079,24,Lainnya,Ilmu Komputer,4.0,4,68.2,0.91,Aktif,11,81,0.56,11,0.5,Rendah
S080,21,Perempuan,Seni,2.21,5,71.7,0.97,Lulus,22,42,0.93,18,0.75,Tinggi
S081,24,Perempuan,Teknik,3.0,5,89.9,0.94,Cuti,14,32,0.78,14,0.85,Rendah
S082,21,Lainnya,Seni,2.77,3,79.3,0.87,Cuti,32,86,0.86,13,0.58,Sedang
S083,22,Perempuan,Seni,3.73,3,68.6,0.62,Aktif,12,63,0.92,15,0.82,Tinggi
S084,25,Lainnya,Seni,2.95,5,98.7,0.91,Aktif,22,62,0.73,13,0.54,Sedang
S085,24,Perempuan,Seni,2.22,5,88.6,0.94,Aktif,37,58,0.88,2,0.59,Tinggi
S086,20,Lainnya,Bisnis,3.27,3,98.3,0.92,Lulus,31,87,0.76,17,0.74,Rendah
S087,23,Laki-laki,Teknik,3.54,6,77.1,0.8,Cuti,34,87,0.61,5,0.83,Sedang
S088,18,Lainnya,Bisnis,2.01,5,79.0,0.69,Lulus,0,89,0.67,16,0.57,Tinggi
S089,21,Lainnya,Teknik,3.72,4,95.9,0.94,Cuti,4,58,0.75,13,0.59,Rendah
S090,19,Lainnya,Ilmu Komputer,2.37,4,81.0,0.89,Lulus,12,69,0.66,13,0.6,Tinggi
S091,25,Lainnya,Seni,3.1,4,88.3,0.99,Cuti,4,74,0.67,19,0.62,Rendah
S092,21,Perempuan,Bisnis,2.83,5,70.1,0.66,Aktif,31,41,0.67,12,0.61,Tinggi
S093,19,Laki-laki,Teknik,3.44,6,77.9,0.69,Aktif,20,88,0.56,2,0.7,Tinggi
S094,23,Lainnya,Ilmu Komputer,2.74,6,64.9,0.68,Aktif,23,30,0.54,12,0.83,Tinggi
S095,23,Perempuan,Ilmu Komputer,3.74,3,68.2,0.92,Lulus,17,27,0.52,1,0.72,Rendah
S096,23,Laki-laki,Seni,3.46,5,60.0,0.67,Aktif,20,69,0.56,8,0.89,Tinggi
S097,19,Laki-laki,Teknik,3.3,6,61.6,0.63,Cuti,9,22,0.67,12,0.86,Tinggi
S098,21,Laki-laki,Bisnis,3.59,5,99.1,1.0,Lulus,23,33,0.8,7,0.56,Rendah
S099,23,Laki-laki,Seni,3.51,3,69.7,0.61,Cuti,39,39,0.59,15,0.52,Tinggi
S100,22,Lainnya,Bisnis,2.07,3,86.5,0.93,Lulus,20,11,0.94,2,0.94,Tinggi
S101,24,Lainnya,Ilmu Komputer,2.79,3,93.6,0.75,Cuti,24,34,0.9,12,0.54,Sedang
S102,19,Perempuan,Bisnis,3.86,4,82.0,0.94,Cuti,22,59,0.76,3,0.57,Rendah
S103,19,Perempuan,Bisnis,2.25,5,66.1,0.82,Lulus,21,23,0.86,17,0.51,Tinggi
S104,21,Perempuan,Seni,3.47,3,89.1,0.96,Lulus,3,15,0.68,1,0.81,Rendah
S105,19,Laki-laki,Bisnis,3.95,5,84.0,0.97,Aktif,33,85,0.52,19,0.79,Rendah
S106,19,Laki-laki,Seni,2.1,4,89.3,0.6,Aktif,5,39,0.95,14,0.99,Tinggi
S107,23,Lainnya,Ilmu Komputer,3.36,4,90.8,0.63,Cuti,27,39,0.56,16,0.94,Tinggi
S108,21,Laki-laki,Seni,2.94,3,99.0,0.7,Cuti,30,47,0.97,9,0.71,Tinggi
S109,23,Laki-laki,Seni,3.16,3,82.9,0.87,Cuti,34,67,0.79,0,0.69,Rendah
S110,24,Laki-laki,Teknik,2.17,6,73.7,0.96,Lulus,38,50,0.65,5,0.65,Tinggi
S111,25,Perempuan,Bisnis,2.09,5,85.9,0.78,Lulus,22,66,0.75,2,0.58,Tinggi
S112,24,Perempuan,Ilmu Komputer,3.33,3,62.7,0.84,Aktif,5,45,0.75,18,0.57,Sedang
S113,25,Lainnya,Seni,3.65,6,95.9,0.68,Cuti,15,73,0.51,6,0.57,Tinggi
S114,23,Laki-laki,Ilmu Komputer,3.56,5,64.8,0.92,Aktif,1,25,0.68,12,0.56,Rendah
S115,24,Laki-laki,Teknik,3.09,3,73.1,0.99,Lulus,23,87,0.87,12,0.62,Rendah
S116,21,Lainnya,Bisnis,2.2,6,92.6,0.71,Lulus,16,81,0.76,16,0.65,Tinggi
S117,18,Laki-laki,Seni,3.38,6,83.9,0.8,Lulus,0,23,0.62,0,0.98,Sedang
S118,23,Laki-laki,Bisnis,2.48,5,75.7,0.63,Aktif,5,40,0.67,13,0.79,Tinggi
S119,25,Perempuan,Teknik,3.82,6,78.9,0.82,Lulus,4,75,0.93,2,0.99,Sedang
S120,22,Lainnya,Teknik,3.68,5,94.2,0.8,Cuti,28,77,0.76,13,0.69,Sedang
S121,25,Lainnya,Ilmu Komputer,3.42,5,73.6,0.66,Aktif,11,74,0.76,0,0.73,Tinggi
S122,22,Lainnya,Seni,3.9,5,94.8,0.78,Lulus,38,64,0.98,15,0.66,Sedang
S123,19,Lainnya,Ilmu Komputer,2.06,4,63.5,0.73,Aktif,2,87,0.66,9,0.59,Tinggi
S124,24,Perempuan,Teknik,3.47,6,91.1,0.81,Aktif,0,49,0.74,12,0.57,Sedang
S125,22,Perempuan,Bisnis,2.66,5,93.9,0.83,Lulus,26,34,0.91,3,0.97,Sedang
S126,25,Laki-laki,Ilmu Komputer,3.81,3,67.3,0.6,Lulus,23,34,0.88,8,0.99,Tinggi
S127,19,Laki-laki,Ilmu Komputer,2.53,4,77.2,0.9,Aktif,18,12,0.63,13,0.52,Sedang
S128,18,Laki-laki,Bisnis,3.45,4,66.6,0.89,Aktif,7,78,0.58,3,0.58,Rendah
S129,21,Laki-laki,Ilmu Komputer,3.76,6,88.3,0.75,Lulus,1,35,0.85,9,0.71,Sedang
S130,21,Perempuan,Bisnis,2.08,5,81.4,0.62,Cuti,29,49,0.63,7,0.59,Tinggi
S131,21,Lainnya,Seni,2.8,6,85.4,0.9,Aktif,29,47,0.96,2,0.68,Sedang
S132,22,Perempuan,Bisnis,3.52,4,67.9,0.98,Aktif,38,47,0.56,6,0.56,Rendah
S133,18,Laki-laki,Seni,2.91,5,68.5,0.7,Cuti,31,77,0.66,9,0.73,Tinggi
S134,22,Perempuan,Bisnis,2.53,3,61.7,0.73,Lulus,0,16,0.53,2,0.64,Tinggi
S135,24,Lainnya,Teknik,2.44,5,72.9,0.67,Lulus,37,39,0.85,1,0.68,Tinggi
S136,22,Lainnya,Teknik,2.26,4,82.4,0.83,Cuti,12,28,0.95,14,0.55,Tinggi
S137,18,Perempuan,Seni,3.71,3,94.3,0.66,Lulus,10,44,0.82,8,0.71,Tinggi
S138,18,Perempuan,Seni,3.15,5,86.7,0.74,Lulus,9,42,0.97,14,0.99,Tinggi
S139,24,Perempuan,Teknik,2.15,3,77.4,0.88,Aktif,25,42,0.56,16,0.66,Tinggi
S140,18,Laki-laki,Seni,2.77,3,98.1,0.82,Aktif,19,87,0.54,6,0.94,Sedang
S141,25,Perempuan,Bisnis,2.74,4,88.8,0.75,Aktif,16,47,0.92,19,0.92,Sedang
S142,18,Perempuan,Bisnis,2.36,3,97.2,0.77,Cuti,16,19,0.93,17,0.98,Tinggi
S143,21,Perempuan,Teknik,2.87,6,81.1,0.82,Lulus,3,66,0.92,14,0.9,Sedang
S144,25,Lainnya,Ilmu Komputer,2.66,4,70.4,0.6,Lulus,4,37,0.9,17,0.83,Tinggi
S145,25,Lainnya,Bisnis,2.68,6,62.1,0.63,Aktif,22,87,0.68,11,0.93,Tinggi
S146,24,Laki-laki,Seni,3.48,3,89.0,0.95,Aktif,9,47,0.61,7,0.54,Rendah
S147,20,Laki-laki,Ilmu Komputer,2.45,6,64.9,0.63,Cuti,27,25,0.96,1,0.73,Tinggi
S148,20,Lainnya,Ilmu Komputer,3.28,5,72.1,0.88,Lulus,32,30,0.65,1,0.99,Rendah
S149,18,Lainnya,Bisnis,3.14,3,81.3,0.97,Cuti,25,15,0.7,4,0.88,Rendah
S150,25,Lainnya,Bisnis,3.14,5,82.6,0.71,Lulus,28,50,0.85,0,0.98,Tinggi
S151,20,Perempuan,Ilmu Komputer,3.33,6,84.0,0.75,Cuti,26,24,0.65,3,0.89,Sedang
S152,20,Perempuan,Ilmu Komputer,3.1,5,66.7,0.83,Aktif,17,12,0.91,5,0.94,Sedang
S153,18,Lainnya,Teknik,3.76,3,75.2,0.95,Cuti,39,52,0.54,12,0.85,Rendah
S154,20,Perempuan,Seni,3.35,5,84.7,0.98,Cuti,9,56,0.9,18,0.88,Rendah
S155,22,Perempuan,Teknik,3.09,6,98.8,0.9,Aktif,4,23,0.8,10,0.76,Rendah
S156,19,Laki-laki,Bisnis,3.66,6,89.1,0.63,Lulus,9,75,0.79,12,0.96,Tinggi
S157,24,Lainnya,Teknik,3.21,6,96.9,0.87,Lulus,20,38,0.73,7,0.91,Rendah
S158,19,Lainnya,Teknik,2.58,3,90.5,0.76,Aktif,23,13,0.64,6,0.92,Sedang
S159,18,Perempuan,Teknik,2.41,6,83.7,0.79,Cuti,37,35,0.73,12,0.84,Tinggi
S160,21,Lainnya,Teknik,2.3,3,67.7,0.62,Cuti,2,21,0.73,0,0.65,Tinggi
S161,24,Laki-laki,Seni,3.8,5,86.7,0.68,Cuti,39,11,0.79,5,0.52,Tinggi
S162,18,Laki-laki,Seni,3.42,6,84.9,0.92,Lulus,30,26,0.64,6,0.97,Rendah
S163,25,Laki-laki,Ilmu Komputer,3.87,5,84.1,0.78,Cuti,36,44,0.54,15,0.79,Sedang
S164,21,Lainnya,Bisnis,3.21,4,79.6,0.72,Lulus,1,19,0.57,14,0.65,Tinggi
S165,19,Lainnya,Teknik,2.95,5,81.1,0.75,Cuti,1,52,0.85,19,0.57,Sedang
S166,18,Lainnya,Ilmu Komputer,2.12,4,73.4,0.94,Aktif,38,30,0.51,1,0.91,Tinggi
S167,25,Lainnya,Ilmu Komputer,3.34,5,80.8,0.9,Aktif,33,24,0.93,15,0.92,Rendah
S168,24,Lainnya,Ilmu Komputer,3.16,3,67.9,0.71,Lulus,19,44,0.85,16,0.91,Tinggi
S169,24,Laki-laki,Seni,3.98,5,92.2,0.65,Lulus,32,69,0.88,14,0.82,Tinggi
S170,23,Perempuan,Teknik,2.48,3,67.4,0.7,Aktif,3,53,0.92,2,0.68,Tinggi
S171,25,Laki-laki,Teknik,3.06,3,63.4,0.97,Aktif,10,14,0.56,3,0.65,Rendah
S172,22,Lainnya,Bisnis,3.3,6,77.4,0.83,Cuti,4,82,0.91,11,0.5,Sedang
S173,20,Laki-laki,Teknik,3.29,3,86.3,0.81,Aktif,24,27,0.75,4,0.92,Sedang
S174,21,Lainnya,Teknik,3.12,4,77.5,0.84,Lulus,36,30,0.94,16,0.54,Sedang
S175,25,Lainnya,Ilmu Komputer,3.55,6,71.1,0.75,Aktif,33,81,0.94,5,0.82,Sedang
S176,23,Laki-laki,Bisnis,2.41,6,82.3,0.92,Lulus,8,83,0.51,9,0.75,Tinggi
S177,20,Lainnya,Teknik,3.45,5,73.9,0.81,Lulus,5,60,0.69,17,0.76,Sedang
S178,20,Perempuan,Seni,3.24,3,97.3,0.65,Cuti,17,50,0.76,9,0.96,Tinggi
S179,18,Lainnya,Teknik,3.79,3,96.9,0.65,Cuti,13,33,0.84,5,0.52,Tinggi
S180,20,Perempuan,Ilmu Komputer,3.69,4,80.1,0.81,Cuti,18,33,0.64,5,0.89,Sedang
S181,22,Perempuan,Seni,2.63,5,73.1,0.97,Cuti,13,47,0.63,19,0.53,Sedang
S182,24,Lainnya,Ilmu Komputer,2.55,5,89.5,0.72,Aktif,39,53,0.69,14,0.52,Tinggi
S183,23,Laki-laki,Teknik,3.96,6,61.5,0.95,Cuti,16,66,0.75,3,0.71,Rendah
S184,20,Perempuan,Seni,3.05,6,79.0,0.91,Aktif,34,68,0.98,15,0.53,Rendah
S185,18,Laki-laki,Bisnis,3.81,6,73.5,0.7,Cuti,28,43,0.88,7,0.89,Tinggi
S186,22,Perempuan,Bisnis,2.33,4,96.8,0.61,Cuti,16,84,0.71,6,0.76,Tinggi
S187,19,Lainnya,Seni,3.29,4,60.5,0.64,Lulus,7,32,0.53,18,0.51,Tinggi
S188,24,Lainnya,Seni,3.62,6,82.1,0.89,Aktif,0,52,0.58,16,0.52,Rendah
S189,24,Perempuan,Ilmu Komputer,3.89,5,89.6,0.68,Lulus,35,49,0.73,12,0.81,Tinggi
S190,23,Lainnya,Seni,2.67,4,79.4,0.75,Cuti,6,56,0.91,14,0.9,Sedang
S191,24,Perempuan,Ilmu Komputer,3.45,5,63.4,0.8,Aktif,4,50,0.69,1,0.72,Sedang
S192,20,Lainnya,Teknik,3.08,5,98.9,0.89,Cuti,23,56,0.77,9,0.78,Rendah
S193,18,Laki-laki,Ilmu Komputer,2.12,3,80.7,0.65,Lulus,27,29,0.95,12,0.9,Tinggi
S194,24,Lainnya,Seni,3.38,6,84.6,0.76,Aktif,16,86,0.96,17,0.81,Sedang
S195,24,Laki-laki,Seni,3.38,3,69.5,0.79,Lulus,36,74,0.61,10,0.61,Sedang
S196,19,Lainnya,Teknik,3.86,6,79.3,0.82,Cuti,19,77,0.52,12,0.81,Sedang
S197,19,Laki-laki,Seni,2.99,6,77.2,0.93,Cuti,2,33,0.65,18,0.81,Sedang
S198,21,Lainnya,Seni,2.46,5,63.0,0.67,Cuti,36,45,0.85,4,0.87,Tinggi
S199,22,Laki-laki,Bisnis,2.09,6,64.2,0.92,Aktif,25,54,0.98,2,0.81,Tinggi
S200,20,Perempuan,Bisnis,2.83,5,93.5,0.88,Lulus,14,11,0.54,18,0.98,Sedang
S201,24,Perempuan,Teknik,2.6,5,69.6,0.82,Lulus,7,37,0.51,12,0.6,Sedang
S202,25,Laki-laki,Ilmu Komputer,3.52,6,67.8,0.88,Cuti,12,35,0.94,4,0.98,Rendah
S203,24,Lainnya,Bisnis,2.71,5,80.2,0.76,Lulus,2,32,0.87,11,0.77,Sedang
S204,18,Laki-laki,Ilmu Komputer,3.9,5,90.7,0.66,Aktif,0,88,1.0,13,0.84,Tinggi
S205,21,Lainnya,Seni,3.92,5,62.5,0.87,Cuti,8,45,0.7,5,0.55,Rendah
S206,22,Perempuan,Bisnis,3.24,4,83.1,0.81,Cuti,30,15,0.71,8,0.69,Sedang
S207,25,Lainnya,Teknik,3.86,5,64.8,0.86,Cuti,25,44,0.59,16,0.88,Rendah
S208,21,Perempuan,Teknik,3.52,4,61.5,0.74,Aktif,16,47,0.56,7,0.85,Tinggi
S209,23,Lainnya,Teknik,3.09,4,62.1,0.96,Cuti,33,44,0.79,12,0.52,Rendah
S210,22,Lainnya,Bisnis,2.36,5,93.4,0.83,Cuti,8,83,0.68,4,0.77,Tinggi
S211,24,Lainnya,Ilmu Komputer,2.92,5,64.7,0.63,Cuti,12,62,0.54,16,0.54,Tinggi
S212,24,Laki-laki,Seni,3.12,4,61.8,0.78,Cuti,4,47,0.94,2,1.0,Sedang
S213,22,Laki-laki,Ilmu Komputer,3.73,4,77.5,0.9,Lulus,12,68,0.6,5,0.95,Rendah
S214,24,Perempuan,Ilmu Komputer,2.96,5,93.8,0.92,Cuti,0,52,0.87,13,0.51,Sedang
S215,20,Perempuan,Seni,3.8,5,70.5,0.8,Aktif,24,13,0.64,14,0.93,Sedang
S216,22,Laki-laki,Seni,3.35,6,76.9,0.96,Cuti,3,14,0.91,13,0.96,Rendah
S217,21,Perempuan,Bisnis,2.27,4,61.6,0.71,Cuti,35,77,0.56,10,0.68,Tinggi
S218,22,Laki-laki,Bisnis,3.99,4,78.0,0.76,Lulus,9,54,0.88,10,0.86,Sedang
S219,25,Lainnya,Bisnis,3.05,6,83.1,0.96,Cuti,27,89,0.55,8,0.72,Rendah
S220,24,Perempuan,Bisnis,2.78,4,82.8,0.96,Lulus,5,34,0.72,5,0.83,Sedang
S221,20,Perempuan,Bisnis,3.32,3,73.3,0.87,Aktif,26,87,0.87,14,0.67,Rendah
S222,20,Laki-laki,Seni,2.22,4,72.6,0.94,Lulus,11,20,0.59,11,0.66,Tinggi
S223,23,Perempuan,Ilmu Komputer,3.27,6,64.3,0.64,Cuti,2,38,0.64,5,0.71,Tinggi
S224,21,Perempuan,Bisnis,3.0,3,74.7,0.95,Aktif,32,43,0.93,0,0.57,Rendah
S225,19,Lainnya,Bisnis,2.81,5,64.0,0.73,Cuti,9,23,0.94,15,0.92,Tinggi
S226,19,Perempuan,Ilmu Komputer,3.91,6,90.7,0.67,Lulus,30,33,0.52,19,0.67,Tinggi
S227,22,Lainnya,Bisnis,3.05,6,98.7,0.7,Aktif,14,68,0.58,14,0.7,Tinggi
S228,23,Laki-laki,Ilmu Komputer,2.44,5,98.8,0.77,Aktif,6,48,0.56,1,0.95,Tinggi
S229,18,Perempuan,Ilmu Komputer,2.92,6,94.6,0.7,Lulus,35,35,0.59,16,0.75,Tinggi
S230,22,Lainnya,Seni,3.84,4,84.0,0.73,Lulus,13,52,0.99,2,0.77,Tinggi
S231,23,Laki-laki,Teknik,2.35,5,88.0,0.65,Aktif,13,45,0.78,2,0.98,Tinggi
S232,21,Perempuan,Seni,2.43,6,71.4,0.72,Aktif,2,48,0.73,4,0.94,Tinggi
S233,21,Laki-laki,Teknik,2.03,5,85.2,0.83,Lulus,2,70,0.99,16,0.58,Tinggi
S234,21,Perempuan,Teknik,2.03,5,78.2,0.78,Cuti,21,25,0.78,16,0.74,Tinggi
S235,21,Laki-laki,Teknik,3.66,5,79.3,0.74,Aktif,18,68,0.83,19,0.99,Tinggi
S236,21,Laki-laki,Bisnis,3.46,3,90.3,0.9,Lulus,34,15,0.67,5,0.69,Rendah
S237,23,Lainnya,Seni,2.71,6,71.3,0.96,Cuti,11,65,0.69,0,0.69,Sedang
S238,23,Laki-laki,Teknik,3.4,3,72.7,0.9,Aktif,4,17,0.8,6,0.6,Rendah
S239,20,Perempuan,Ilmu Komputer,2.79,6,97.0,0.73,Aktif,9,36,0.53,14,0.56,Tinggi
S240,25,Perempuan,Bisnis,3.91,4,62.2,0.9,Lulus,32,80,0.63,6,0.87,Rendah
S241,19,Lainnya,Seni,3.93,4,79.4,0.66,Cuti,12,36,0.6,18,0.89,Tinggi
S242,24,Perempuan,Teknik,2.79,4,96.5,0.65,Aktif,34,55,0.51,19,0.98,Tinggi
S243,21,Perempuan,Ilmu Komputer,3.71,6,84.4,0.74,Cuti,31,50,0.77,10,0.89,Tinggi
S244,18,Perempuan,Seni,3.55,5,81.9,0.92,Cuti,10,88,0.78,13,0.62,Rendah
